Taotluse reg.kpv,Elamisloa liik,Rändeliik,Kodakondsus,Sugu,Vanuserühm
2019-05-23 07:02:49.109036,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Filipiinid,M, 10-14
2018-03-15 01:10:58.135127,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Gambia,M, 80-84
2018-10-26 19:22:14.985074,Tähtajalise elamisloa pikendamine,Õppimine,Sierra Leone,N, 35-39
2019-06-22 23:10:43.261600,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Iraan,M, 40-44
2019-12-23 11:50:01.886281,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Sri Lanka,M, 25-29
2023-01-03 22:30:32.006813,Tähtajalise elamisloa pikendamine,Töötamine,Egiptus,M, 30-34
2015-05-04 06:37:06.236716,Tähtajalise elamisloa pikendamine,Välisleping,Kanada,N, 40-44
2024-12-08 19:05:36.135569,Tähtajalise elamisloa pikendamine,Töötamine,Maroko,M, 30-34
2024-07-04 20:46:01.271108,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Valgevene,N, 55-59
2015-05-12 15:46:15.662865,Tähtajaline elamisluba,Pereränne,Tai,M, 15-19
2024-08-08 17:27:34.969500,Tähtajalise elamisloa pikendamine,Ettevõtlus,Filipiinid,N, 65-69
2023-12-08 04:46:34.088152,Tähtajalise elamisloa pikendamine,Ettevõtlus,Libeeria,M, 40-44
2017-04-23 12:14:04.235156,Tähtajaline elamisluba,Töötamine,Kasahstan,N, 5-9
2015-03-21 06:09:05.520597,Tähtajalise elamisloa pikendamine,Töötamine,Albaania,N, 5-9
2025-02-02 00:14:28.524717,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Valgevene,M, 0-4
2019-06-13 12:03:52.926359,Tähtajaline elamisluba,Õppimine,Libeeria,M, 25-29
2025-05-01 19:45:29.470994,Tähtajalise elamisloa pikendamine,Välisleping,Kõrgõzstan,N, 80-84
2019-07-31 17:49:22.347674,Tähtajaline elamisluba,Välisleping,Austraalia,N, 15-19
2019-08-22 11:47:57.172294,Tähtajaline elamisluba,Legaalne sissetulek,Senegal,N, 55-59
2023-09-22 03:17:06.827916,Tähtajalise elamisloa pikendamine,Ettevõtlus,Ghana,M, 30-34
2021-01-15 12:51:41.785929,Tähtajalise elamisloa pikendamine,Töötamine,Egiptus,M, 40-44
2015-09-06 15:44:42.407883,Tähtajaline elamisluba,Ettevõtlus,Muu,M, 20-24
2019-07-02 00:39:39.862092,Tähtajalise elamisloa pikendamine,Pereränne,Singapur,M, 15-19
2023-10-09 13:27:54.267661,Tähtajaline elamisluba,Välisleping,Malaisia,M, 20-24
2015-09-22 17:31:40.769554,Tähtajalise elamisloa pikendamine,Õppimine,Palestiina okupeeritud ala,M, 20-24
2016-05-25 01:44:43.052517,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Türgi,N, 10-14
2016-02-18 22:18:05.083961,Tähtajaline elamisluba,Välisleping,Sri Lanka,N, 40-44
2025-04-11 19:54:20.735507,Tähtajaline elamisluba,Välisleping,Gambia,N, 85+
2023-11-22 10:19:20.548654,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Mehhiko,N, 5-9
2019-09-11 09:42:25.337707,Tähtajalise elamisloa pikendamine,Õppimine,Ghana,N, 25-29
2017-08-10 16:04:01.463965,Tähtajaline elamisluba,Ettevõtlus,Nigeeria,M, 40-44
2020-05-09 16:24:17.188484,Tähtajaline elamisluba,Töötamine,Vietnam,N, 30-34
2020-11-05 07:38:01.230608,Tähtajaline elamisluba,Töötamine,Usbekistan,M, 85+
2023-09-30 19:51:31.657855,Tähtajalise elamisloa pikendamine,Õppimine,Malaisia,N, 50-54
2015-07-23 05:41:42.983302,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Armeenia,N, 30-34
2015-12-28 11:09:38.488482,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Venemaa,M, 40-44
2022-08-06 11:56:59.324733,Tähtajaline elamisluba,Töötamine,Sierra Leone,N, 75-79
2023-09-19 09:28:11.548289,Tähtajalise elamisloa pikendamine,Töötamine,Gruusia,N, 30-34
2018-02-26 08:43:53.679164,Tähtajaline elamisluba,Legaalne sissetulek,Iraan,N, 55-59
2015-12-31 21:01:28.563949,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Gruusia,M, 65-69
2015-08-03 16:03:14.605737,Tähtajalise elamisloa pikendamine,Õppimine,Kanada,M, 15-19
2016-03-13 23:03:35.507575,Tähtajalise elamisloa pikendamine,Töötamine,Armeenia,N, 40-44
2020-05-14 10:44:30.695862,Tähtajalise elamisloa pikendamine,Õppimine,Malaisia,N, 35-39
2023-11-27 23:05:48.426991,Tähtajaline elamisluba,Pereränne,Afganistan,M, 80-84
2024-08-16 13:15:08.418413,Tähtajaline elamisluba,Õppimine,Maroko,N, 5-9
2024-07-12 03:59:57.941402,Tähtajaline elamisluba,Õppimine,Gambia,M, 50-54
2019-11-30 15:26:19.017195,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Ghana,N, 25-29
2021-09-07 04:51:42.280709,Tähtajaline elamisluba,Töötamine,Senegal,M, 45-49
2015-11-17 13:06:48.006608,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Kamerun,N, 50-54
2016-04-22 17:29:17.275100,Tähtajaline elamisluba,Pereränne,Filipiinid,M, 80-84
2025-05-22 19:07:27.047235,Tähtajaline elamisluba,Ettevõtlus,Gruusia,N, 75-79
2024-03-11 14:39:41.307103,Tähtajalise elamisloa pikendamine,Õppimine,Süüria,M, 75-79
2023-04-04 17:53:47.780494,Tähtajaline elamisluba,Õppimine,Venemaa,M, 85+
2021-01-01 14:23:46.949997,Tähtajaline elamisluba,Töötamine,Kasahstan,N, 80-84
2024-09-22 19:35:06.848047,Tähtajalise elamisloa pikendamine,Välisleping,Pakistan,N, 40-44
2021-12-07 21:20:31.694327,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Ukraina,M, 35-39
2016-09-27 20:30:19.203404,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Pakistan,N, 30-34
2020-09-10 13:36:59.625054,Tähtajaline elamisluba,Legaalne sissetulek,Maroko,N, 45-49
2021-05-20 14:39:36.534821,Tähtajalise elamisloa pikendamine,Õppimine,Kanada,N, 75-79
2024-01-31 18:50:55.906606,Tähtajalise elamisloa pikendamine,Välisleping,Kõrgõzstan,N, 50-54
2015-04-01 04:08:20.709003,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Sierra Leone,M, 45-49
2024-10-09 00:53:48.503653,Tähtajalise elamisloa pikendamine,Välisleping,Süüria,M, 45-49
2019-05-10 18:51:50.785558,Tähtajaline elamisluba,Välisleping,Maroko,N, 10-14
2023-05-30 02:56:20.683045,Tähtajaline elamisluba,Töötamine,Bangladesh,M, 80-84
2025-06-01 16:11:37.327557,Tähtajaline elamisluba,Õppimine,Taiwan,M, 45-49
2024-03-17 04:16:34.894989,Tähtajalise elamisloa pikendamine,Õppimine,Egiptus,N, 35-39
2015-05-26 08:42:39.095553,Tähtajaline elamisluba,Legaalne sissetulek,Singapur,M, 85+
2022-09-14 21:04:14.413552,Tähtajalise elamisloa pikendamine,Välisleping,Argentina,M, 50-54
2023-07-04 05:13:59.862659,Tähtajaline elamisluba,Töötamine,Türgi,M, 25-29
2021-09-13 10:01:26.004161,Tähtajaline elamisluba,Õppimine,Indoneesia,M, 25-29
2025-01-07 22:38:38.017267,Tähtajaline elamisluba,Õppimine,Palestiina okupeeritud ala,M, 85+
2024-07-24 06:07:25.174960,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Pakistan,M, 85+
2015-01-10 20:32:11.480831,Tähtajaline elamisluba,Ettevõtlus,Lõuna-Aafrika Vabariik,M, 50-54
2025-02-21 08:43:32.616153,Tähtajalise elamisloa pikendamine,Õppimine,Pakistan,N, 15-19
2025-06-01 23:59:59.993094,Tähtajalise elamisloa pikendamine,Ettevõtlus,Suurbritannia,M, 30-34
2015-01-09 00:00:00.000000,Tähtajaline elamisluba,Välisleping,Ghana,N, 70-74
2024-01-10 01:36:32.249882,Tähtajaline elamisluba,Töötamine,Hiina,M, 15-19
2019-05-27 01:52:02.118711,Tähtajalise elamisloa pikendamine,Pereränne,Brasiilia,N, 20-24
2020-01-05 01:08:57.114087,Tähtajaline elamisluba,Õppimine,Tuneesia,M, 25-29
2024-06-27 15:14:59.201556,Tähtajalise elamisloa pikendamine,Õppimine,Kasahstan,N, 70-74
2022-10-01 12:02:34.691121,Tähtajalise elamisloa pikendamine,Ettevõtlus,Valgevene,M, 50-54
2015-03-15 22:08:19.860094,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Senegal,M, 55-59
2016-11-27 00:12:55.139382,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Armeenia,M, 0-4
2025-06-01 23:59:58.916094,Tähtajaline elamisluba,Välisleping,Iraan,N, 40-44
2019-09-27 13:49:10.808539,Tähtajalise elamisloa pikendamine,Ettevõtlus,Indoneesia,N, 55-59
2019-05-19 16:21:11.947633,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Tšiili,N, 35-39
2015-01-14 04:01:49.254416,Tähtajaline elamisluba,Õppimine,Ameerika Ühendriigid,M, 35-39
2021-05-02 17:03:58.758051,Tähtajaline elamisluba,Pereränne,Argentina,N, 50-54
2025-06-01 23:59:55.835320,Tähtajaline elamisluba,Ettevõtlus,Kasahstan,M, 55-59
2022-05-22 13:48:35.046949,Tähtajaline elamisluba,Legaalne sissetulek,Venezuela,M, 60-64
2023-08-30 22:05:39.714729,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Maroko,N, 45-49
2022-09-06 01:25:28.525979,Tähtajaline elamisluba,Välisleping,Ukraina,M, 85+
2015-05-12 21:30:46.053060,Tähtajalise elamisloa pikendamine,Õppimine,Türgi,N, 25-29
2019-10-08 03:03:58.127663,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Gambia,N, 35-39
2019-02-26 23:07:47.538414,Tähtajaline elamisluba,Ettevõtlus,Egiptus,N, 70-74
2025-01-29 19:30:54.021664,Tähtajalise elamisloa pikendamine,Ettevõtlus,Türgi,N, 5-9
2020-05-09 14:57:28.217908,Tähtajaline elamisluba,Välisleping,Aserbaidžaan,N, 70-74
2024-08-07 03:03:43.147272,Tähtajalise elamisloa pikendamine,Välisleping,Brasiilia,M, 60-64
2017-05-07 07:54:38.175571,Tähtajalise elamisloa pikendamine,Välisleping,Indoneesia,M, 30-34
2021-04-11 03:02:56.066631,Tähtajaline elamisluba,Pereränne,Tuneesia,M, 80-84
2025-06-01 19:55:46.374660,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Palestiina okupeeritud ala,M, 25-29
2022-05-11 20:27:28.725187,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,India,M, 75-79
2025-04-09 08:49:01.531182,Tähtajaline elamisluba,Pereränne,Nepal,M, 50-54
2023-12-13 15:48:31.112569,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Nepal,N, 20-24
2023-03-09 21:11:48.851694,Tähtajaline elamisluba,Töötamine,Nigeeria,N, 75-79
2023-02-01 05:55:49.923446,Tähtajaline elamisluba,Ettevõtlus,Austraalia,M, 50-54
2018-07-13 17:00:06.955384,Tähtajalise elamisloa pikendamine,Ettevõtlus,Ghana,N, 30-34
2017-04-05 03:24:23.169378,Tähtajalise elamisloa pikendamine,Töötamine,Egiptus,N, 50-54
2018-11-04 00:16:12.020018,Tähtajalise elamisloa pikendamine,Ettevõtlus,Sierra Leone,N, 65-69
2015-07-10 19:03:22.559227,Tähtajalise elamisloa pikendamine,Välisleping,Lõuna-Aafrika Vabariik,M, 35-39
2016-11-22 01:15:56.292598,Tähtajaline elamisluba,Pereränne,Kasahstan,N, 60-64
2023-07-27 23:09:42.955255,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Aserbaidžaan,N, 55-59
2022-04-03 11:10:44.847222,Tähtajalise elamisloa pikendamine,Õppimine,Korea Vabariik,N, 50-54
2017-01-31 20:34:59.890258,Tähtajalise elamisloa pikendamine,Välisleping,Vietnam,M, 35-39
2017-02-17 13:43:18.620181,Tähtajalise elamisloa pikendamine,Pereränne,Ukraina,N, 5-9
2023-06-05 22:12:20.557014,Tähtajalise elamisloa pikendamine,Töötamine,Määratlemata kodakondsus,M, 30-34
2025-04-24 02:41:55.038507,Tähtajalise elamisloa pikendamine,Ettevõtlus,Brasiilia,N, 65-69
2015-03-19 11:31:20.949228,Tähtajaline elamisluba,Pereränne,Nepal,M, 60-64
2016-02-08 02:43:58.890994,Tähtajalise elamisloa pikendamine,Ettevõtlus,Kamerun,M, 65-69
2024-02-06 19:38:53.160869,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Venemaa,M, 40-44
2016-01-17 08:40:58.833646,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Usbekistan,M, 60-64
2022-08-27 16:16:01.015623,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Nepal,N, 5-9
2023-11-02 18:35:37.808626,Tähtajaline elamisluba,Välisleping,Lõuna-Aafrika Vabariik,M, 85+
2022-11-10 12:46:15.415238,Tähtajalise elamisloa pikendamine,Töötamine,Venezuela,N, 35-39
2015-04-24 19:32:57.079147,Tähtajalise elamisloa pikendamine,Töötamine,Lõuna-Aafrika Vabariik,N, 10-14
2025-05-01 12:18:19.186506,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Määratlemata kodakondsus,M, 75-79
2025-05-30 21:34:06.947706,Tähtajalise elamisloa pikendamine,Õppimine,Maroko,N, 25-29
2025-03-15 15:34:40.613745,Tähtajaline elamisluba,Legaalne sissetulek,Albaania,M, 85+
2018-08-16 04:49:10.489957,Tähtajalise elamisloa pikendamine,Ettevõtlus,Iisrael,M, 45-49
2025-06-02 00:00:00.000000,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,India,N, 80-84
2018-11-02 23:44:17.494533,Tähtajaline elamisluba,Välisleping,Kanada,N, 85+
2018-05-14 23:36:19.328266,Tähtajaline elamisluba,Legaalne sissetulek,Määratlemata kodakondsus,M, 10-14
2024-03-16 03:21:14.481205,Tähtajaline elamisluba,Pereränne,Vietnam,M, 25-29
2018-07-03 04:52:50.433868,Tähtajalise elamisloa pikendamine,Pereränne,Venezuela,N, 75-79
2022-11-15 03:13:00.785477,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Bangladesh,N, 10-14
2015-12-09 09:27:45.759383,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Brasiilia,N, 60-64
2025-06-01 23:25:03.527079,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Aserbaidžaan,N, 5-9
2022-12-15 08:22:11.633244,Tähtajaline elamisluba,Välisleping,Maroko,M, 75-79
2019-12-05 18:26:57.674210,Tähtajaline elamisluba,Töötamine,Muu,M, 45-49
2017-02-07 16:58:49.333280,Tähtajaline elamisluba,Töötamine,Malaisia,M, 10-14
2017-02-22 13:53:33.212098,Tähtajalise elamisloa pikendamine,Pereränne,Valgevene,N, 20-24
2018-03-15 14:56:29.846648,Tähtajaline elamisluba,Pereränne,Albaania,N, 50-54
2015-07-28 02:00:43.623741,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Kamerun,M, 5-9
2022-01-22 19:33:39.154344,Tähtajaline elamisluba,Välisleping,Korea Vabariik,M, 85+
2015-03-16 10:12:29.997868,Tähtajalise elamisloa pikendamine,Pereränne,Vietnam,M, 85+
2024-02-16 20:38:25.264496,Tähtajaline elamisluba,Legaalne sissetulek,Kanada,N, 50-54
2020-09-04 22:37:28.292652,Tähtajalise elamisloa pikendamine,Pereränne,Gambia,M, 45-49
2025-05-20 04:34:18.019023,Tähtajaline elamisluba,Pereränne,Austraalia,N, 5-9
2017-04-04 19:44:14.554076,Tähtajaline elamisluba,Töötamine,Venezuela,M, 50-54
2015-10-14 15:10:41.285407,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Egiptus,N, 0-4
2018-07-23 14:36:12.135239,Tähtajaline elamisluba,Pereränne,Ameerika Ühendriigid,M, 50-54
2024-06-14 18:45:51.765596,Tähtajalise elamisloa pikendamine,Välisleping,Nepal,N, 0-4
2019-09-16 06:12:10.555786,Tähtajaline elamisluba,Välisleping,Armeenia,N, 35-39
2025-06-01 23:57:08.340746,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Pakistan,N, 35-39
2019-05-18 15:43:00.811427,Tähtajaline elamisluba,Ettevõtlus,Colombia,M, 20-24
2015-09-07 02:53:10.591681,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Nepal,N, 45-49
2023-09-19 15:52:49.996401,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Nepal,N, 40-44
2025-04-16 02:31:31.230487,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Kanada,N, 25-29
2023-07-09 06:55:58.799182,Tähtajaline elamisluba,Välisleping,Tuneesia,N, 35-39
2022-08-31 14:15:26.126655,Tähtajaline elamisluba,Õppimine,Nepal,N, 15-19
2018-08-06 19:21:13.778736,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Hiina,N, 15-19
2025-03-02 19:09:51.253844,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Indoneesia,M, 80-84
2025-06-01 23:59:59.999247,Tähtajalise elamisloa pikendamine,Pereränne,Maroko,M, 85+
2020-03-19 22:14:28.471191,Tähtajalise elamisloa pikendamine,Välisleping,Egiptus,N, 30-34
2024-11-06 23:03:06.589138,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Taiwan,N, 75-79
2021-10-01 07:53:34.736620,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Singapur,M, 50-54
2015-11-07 15:23:43.720055,Tähtajalise elamisloa pikendamine,Töötamine,Tšiili,N, 10-14
2015-11-18 00:30:38.650439,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Hiina,M, 50-54
2023-01-02 11:18:22.118309,Tähtajalise elamisloa pikendamine,Pereränne,Tšiili,M, 0-4
2016-06-30 11:34:50.222250,Tähtajaline elamisluba,Õppimine,Ameerika Ühendriigid,N, 15-19
2018-12-12 08:14:36.495317,Tähtajaline elamisluba,Õppimine,Gruusia,M, 85+
2018-07-01 23:29:22.630396,Tähtajalise elamisloa pikendamine,Töötamine,Senegal,M, 15-19
2015-10-07 02:35:29.671247,Tähtajaline elamisluba,Töötamine,Egiptus,M, 25-29
2021-09-26 09:35:28.258618,Tähtajalise elamisloa pikendamine,Õppimine,Sierra Leone,N, 10-14
2015-11-18 12:52:40.447718,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Albaania,N, 35-39
2016-11-30 00:18:21.140586,Tähtajalise elamisloa pikendamine,Pereränne,Venemaa,M, 65-69
2023-04-14 02:49:34.206435,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Korea Vabariik,M, 70-74
2024-05-08 00:44:53.629998,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Gruusia,N, 10-14
2016-09-21 11:15:02.648173,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Albaania,M, 35-39
2023-12-21 13:16:40.077001,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Taiwan,M, 55-59
2024-10-25 19:01:05.605220,Tähtajaline elamisluba,Töötamine,Singapur,N, 75-79
2024-06-02 01:24:04.751527,Tähtajaline elamisluba,Legaalne sissetulek,Ecuador,M, 0-4
2023-05-24 21:57:02.316226,Tähtajalise elamisloa pikendamine,Ettevõtlus,Venezuela,N, 55-59
2025-06-01 23:59:57.346055,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Brasiilia,M, 35-39
2017-01-18 09:53:42.157829,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Libeeria,N, 80-84
2024-01-31 16:07:09.942732,Tähtajalise elamisloa pikendamine,Töötamine,Suurbritannia,M, 0-4
2023-10-10 17:27:14.243298,Tähtajaline elamisluba,Õppimine,Libeeria,M, 55-59
2025-05-01 22:01:55.459600,Tähtajaline elamisluba,Pereränne,Taiwan,N, 45-49
2020-04-28 08:07:39.543113,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Vietnam,N, 10-14
2020-10-20 18:52:47.665982,Tähtajaline elamisluba,Õppimine,Aserbaidžaan,N, 5-9
2023-08-19 23:28:38.734441,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Filipiinid,N, 15-19
2018-12-22 22:16:25.694100,Tähtajaline elamisluba,Pereränne,Kasahstan,M, 65-69
2025-05-31 07:00:54.917534,Tähtajalise elamisloa pikendamine,Õppimine,Kanada,M, 55-59
2021-06-21 13:34:33.608356,Tähtajaline elamisluba,Pereränne,Egiptus,N, 50-54
2024-10-29 21:10:43.294290,Tähtajaline elamisluba,Õppimine,Korea Vabariik,M, 15-19
2025-04-27 17:54:33.950484,Tähtajalise elamisloa pikendamine,Ettevõtlus,Palestiina okupeeritud ala,N, 30-34
2021-01-23 10:52:23.269648,Tähtajaline elamisluba,Legaalne sissetulek,Gambia,N, 45-49
2015-05-15 07:38:28.438013,Tähtajaline elamisluba,Legaalne sissetulek,Libeeria,M, 50-54
2024-08-01 22:08:19.514053,Tähtajaline elamisluba,Töötamine,Pakistan,N, 60-64
2021-04-15 21:30:56.610828,Tähtajaline elamisluba,Legaalne sissetulek,Usbekistan,N, 45-49
2019-09-11 14:40:50.827571,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Argentina,N, 15-19
2021-11-27 01:20:13.549391,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Muu,M, 30-34
2022-03-11 15:10:38.240668,Tähtajaline elamisluba,Töötamine,Senegal,M, 15-19
2023-08-22 02:07:50.557417,Tähtajaline elamisluba,Õppimine,Tuneesia,N, 30-34
2020-09-24 19:49:19.450988,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Brasiilia,M, 80-84
2019-01-30 14:33:05.143883,Tähtajalise elamisloa pikendamine,Ettevõtlus,Armeenia,N, 40-44
2022-01-18 04:39:01.384232,Tähtajaline elamisluba,Pereränne,Senegal,M, 80-84
2023-07-27 01:20:57.359133,Tähtajaline elamisluba,Pereränne,Egiptus,N, 85+
2023-05-10 17:02:06.102567,Tähtajaline elamisluba,Välisleping,Kamerun,M, 0-4
2020-07-26 17:39:55.835996,Tähtajaline elamisluba,Töötamine,Kamerun,M, 25-29
2017-02-09 18:48:31.965059,Tähtajalise elamisloa pikendamine,Õppimine,Argentina,N, 70-74
2019-07-30 09:45:56.729208,Tähtajaline elamisluba,Välisleping,Egiptus,N, 20-24
2018-07-20 14:01:43.050353,Tähtajaline elamisluba,Töötamine,Palestiina okupeeritud ala,N, 45-49
2023-06-12 08:26:19.060267,Tähtajaline elamisluba,Õppimine,Maroko,M, 10-14
2022-08-12 03:34:52.614668,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Tadžikistan,M, 0-4
2020-10-14 19:10:54.485439,Tähtajalise elamisloa pikendamine,Pereränne,Palestiina okupeeritud ala,M, 70-74
2023-09-22 02:18:02.744448,Tähtajaline elamisluba,Töötamine,Ameerika Ühendriigid,M, 80-84
2023-11-28 09:02:59.831555,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Filipiinid,M, 0-4
2015-05-18 18:16:44.882172,Tähtajalise elamisloa pikendamine,Töötamine,Kanada,N, 0-4
2018-07-28 00:44:01.623398,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,India,M, 10-14
2022-04-11 09:03:09.577341,Tähtajalise elamisloa pikendamine,Välisleping,Valgevene,M, 40-44
2016-05-22 06:10:47.883520,Tähtajaline elamisluba,Ettevõtlus,Afganistan,N, 80-84
2019-04-25 12:52:43.458270,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Sierra Leone,N, 85+
2016-03-23 06:55:34.468395,Tähtajaline elamisluba,Pereränne,Austraalia,M, 75-79
2015-11-30 02:38:45.400207,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Jaapan,N, 60-64
2024-01-09 06:11:59.199318,Tähtajaline elamisluba,Töötamine,Kasahstan,M, 60-64
2020-12-03 19:44:48.711684,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Süüria,N, 55-59
2016-12-11 00:31:50.702765,Tähtajalise elamisloa pikendamine,Pereränne,Venezuela,M, 70-74
2025-06-01 23:44:21.787976,Tähtajaline elamisluba,Välisleping,Nepal,M, 65-69
2016-04-11 17:59:54.002229,Tähtajaline elamisluba,Õppimine,Valgevene,M, 40-44
2023-11-14 11:16:30.843356,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Sri Lanka,N, 30-34
2017-05-10 03:58:36.502713,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Iisrael,N, 80-84
